month_date,threshold_actual,name,value,value_12m,threshold_type,real_dollars_date,threshold_nominal
2017-10-01,10.628739457911207,share,0.14893048661754163,0.1533112221337465,real,February 2023,13
2017-11-01,10.657097013737866,share,0.14412141235713422,0.15215260889254323,real,February 2023,13
2017-12-01,10.67955033681642,share,0.1410408134764207,0.1501437068566801,real,February 2023,13
2018-01-01,10.724974142046358,share,0.14055432935154663,0.14923264484351595,real,February 2023,13
2018-02-01,10.753848856945844,share,0.13336820878594194,0.14714590315691486,real,February 2023,13
2018-03-01,10.75591749323715,share,0.12405093704370913,0.14428180377504715,real,February 2023,13
2018-04-01,10.783930276348592,share,0.12878962461558838,0.14221779777270746,real,February 2023,13
2018-05-01,10.808279849360844,share,0.12893667485463195,0.14025297426067593,real,February 2023,13
2018-06-01,10.818019678565744,share,0.13153944949039684,0.13831925750402516,real,February 2023,13
2018-07-01,10.82646661008858,share,0.12163091800110366,0.13648434928887995,real,February 2023,13
2018-08-01,10.845816978730175,share,0.12356438471928256,0.13488940796005688,real,February 2023,13
2018-09-01,10.868184108629926,share,0.1250367745907134,0.13263033449200093,real,February 2023,13
2018-10-01,10.893611096377233,share,0.12400916545452907,0.13055355772841654,real,February 2023,13
2018-11-01,10.885939903463639,share,0.12226603743620394,0.12873227648500568,real,February 2023,13
2018-12-01,10.893395613430222,share,0.11917652739965472,0.1269102526452752,real,February 2023,13
2019-01-01,10.891283880549514,share,0.12190722901158248,0.12535632761694485,real,February 2023,13
2019-02-01,10.917314220548453,share,0.10795543922968871,0.12323859682059041,real,February 2023,13
2019-03-01,10.955239219222404,share,0.11398058186712005,0.12239940055587464,real,February 2023,13
2019-04-01,10.998723677929242,share,0.10712083033577828,0.1205936676992238,real,February 2023,13
2019-05-01,11.002128308492017,share,0.11854016195905338,0.11972729162459225,real,February 2023,13
2019-06-01,10.996482655280326,share,0.10936846802765653,0.11787970983603056,real,February 2023,13
2019-07-01,11.019151461305892,share,0.12377275446012802,0.11805819620761593,real,February 2023,13
2019-08-01,11.035269585742322,share,0.12135165409456235,0.11787380198888925,real,February 2023,13
2019-09-01,11.054749244152125,share,0.11628510549165731,0.11714449623063457,real,February 2023,13
2019-10-01,11.08633904418395,share,0.12343795693751529,0.11709689552088343,real,February 2023,13
2019-11-01,11.110430037659787,share,0.11119513831179742,0.11617432059384955,real,February 2023,13
2019-12-01,11.14546756484379,share,0.12120839716780285,0.11634364307452856,real,February 2023,13
2020-01-01,11.163611228982123,share,0.11230913829599795,0.11554380218156318,real,February 2023,13
2020-02-01,11.17270460934599,share,0.10856717886462922,0.11559478048447488,real,February 2023,13
2020-03-01,11.1242640428579,share,0.1076323400878024,0.11506576033619842,real,February 2023,13
2020-04-01,11.036691773192594,share,0.0748623750128286,0.11237755572595261,real,February 2023,13
2020-05-01,11.027038137166498,share,0.08415845495354543,0.10951241347549362,real,February 2023,13
2020-06-01,11.075220124118175,share,0.08558808265997925,0.10753071469485384,real,February 2023,13
2020-07-01,11.130900917625842,share,0.09076646490567356,0.10478019056531597,real,February 2023,13
2020-08-01,11.179729353418553,share,0.0858638326003804,0.10182287210746747,real,February 2023,13
2020-09-01,11.206363045669123,share,0.09528704201153587,0.10007303348412402,real,February 2023,13
2020-10-01,11.217438869145493,share,0.09622710146102313,0.09780546219441634,real,February 2023,13
