state_abb,low_wage_threshold,low_wage_share,low_wage_count,state_mw,dates,obs_count
KY,16,0.26312720225980607,331000,$7.25,January 2022 through December 2022,974
LA,16,0.34171450669500014,291000,$7.25,January 2022 through December 2022,1311
MA,16,0.11540774121623797,210000,$15.00,January 2022 through December 2022,1726
MD,16,0.14203451276160878,254000,$13.25,January 2022 through December 2022,1113
ME,16,0.16470237899152684,63000,$13.80,January 2022 through December 2022,659
MI,16,0.2111055736154166,577000,$10.10,January 2022 through December 2022,1880
MN,16,0.12756736889698062,240000,$10.59,January 2022 through December 2022,1345
MO,16,0.24403244074672856,449000,$12.00,January 2022 through December 2022,1351
MS,16,0.402721133617145,269000,$7.25,January 2022 through December 2022,1267
MT,16,0.22681138246932575,77000,$9.95,January 2022 through December 2022,1526
NC,16,0.28670571717740845,651000,$7.25,January 2022 through December 2022,1596
ND,16,0.15425631614065716,42000,$7.25,January 2022 through December 2022,1644
NE,16,0.17492206137015345,118000,$10.50,January 2022 through December 2022,1293
NH,16,0.15011649555931483,75000,$7.25,January 2022 through December 2022,1318
NJ,16,0.1744460585562381,431000,$14.13,January 2022 through December 2022,1519
NM,16,0.29273094393075144,151000,$12.00,January 2022 through December 2022,1307
NV,16,0.2247194950956566,181000,$10.50,January 2022 through December 2022,1059
NY,16,0.16324555160883394,715000,$14.20,January 2022 through December 2022,2604
OH,16,0.22763489020288805,807000,$10.10,January 2022 through December 2022,2144
OK,16,0.34785389914231507,354000,$7.25,January 2022 through December 2022,1120
OR,16,0.13019482476607308,178000,$13.50,January 2022 through December 2022,1597
PA,16,0.2023559817911703,709000,$7.25,January 2022 through December 2022,2300
RI,16,0.15412712106597543,52000,$13.00,January 2022 through December 2022,767
SC,16,0.2804224646170617,323000,$7.25,January 2022 through December 2022,1103
SD,16,0.2175823746002467,63000,$10.80,January 2022 through December 2022,1100
TN,16,0.2714470196986687,527000,$7.25,January 2022 through December 2022,1553
TX,16,0.2575279535313251,2182000,$7.25,January 2022 through December 2022,5088
UT,16,0.2041339809955107,221000,$7.25,January 2022 through December 2022,1704
VA,16,0.19986447375841,454000,$12.00,January 2022 through December 2022,1472
VT,16,0.14018899906539403,24000,$13.18,January 2022 through December 2022,1031
WA,16,NA,NA,$15.74,January 2022 through December 2022,NA
WI,16,0.19422978073656272,399000,$7.25,January 2022 through December 2022,1496
WV,16,0.29459095512985956,111000,$8.75,January 2022 through December 2022,1243
WY,16,0.25887330086767535,41000,$7.25,January 2022 through December 2022,1167
AK,17,0.16450618313548396,31000,$10.85,January 2022 through December 2022,920
AL,17,0.3332869652391372,333000,$7.25,January 2022 through December 2022,1321
AR,17,0.35068630017279884,225000,$11.00,January 2022 through December 2022,1135
AZ,17,0.24559257156920083,529000,$13.85,January 2022 through December 2022,1376
CA,17,0.17454511911689488,1762000,$15.50,January 2022 through December 2022,6878
CO,17,0.16141347757010083,290000,$13.65,January 2022 through December 2022,1280
CT,17,0.1741039466019923,173000,$14.00,January 2022 through December 2022,834
DC,17,NA,NA,$16.10,January 2022 through December 2022,NA
DE,17,0.2406087194877623,65000,$11.75,January 2022 through December 2022,899
FL,17,0.33002912171204773,1462000,$11.00,January 2022 through December 2022,2931
GA,17,0.3042263649725281,812000,$7.25,January 2022 through December 2022,1619
HI,17,0.26186675903592044,85000,$12.00,January 2022 through December 2022,1068
IA,17,0.28322500648895704,262000,$7.25,January 2022 through December 2022,978
ID,17,0.3010082360127874,174000,$7.25,January 2022 through December 2022,1646
IL,17,0.2382820255163999,875000,$13.00,January 2022 through December 2022,2362
IN,17,0.26154189790783233,531000,$7.25,January 2022 through December 2022,1488
KS,17,0.27782840574087714,269000,$7.25,January 2022 through December 2022,1204
KY,17,0.3083507936326627,388000,$7.25,January 2022 through December 2022,974
LA,17,0.37931100484236724,323000,$7.25,January 2022 through December 2022,1311
MA,17,0.14398129319720748,262000,$15.00,January 2022 through December 2022,1726
MD,17,0.16551908332186274,296000,$13.25,January 2022 through December 2022,1113
ME,17,0.2315338169924653,89000,$13.80,January 2022 through December 2022,659
MI,17,0.25434055339282546,695000,$10.10,January 2022 through December 2022,1880
MN,17,0.15934948198213195,300000,$10.59,January 2022 through December 2022,1345
MO,17,0.290145412904423,534000,$12.00,January 2022 through December 2022,1351
MS,17,0.4505467134223846,301000,$7.25,January 2022 through December 2022,1267
MT,17,0.2793672369945291,95000,$9.95,January 2022 through December 2022,1526
NC,17,0.32341766924199494,735000,$7.25,January 2022 through December 2022,1596
ND,17,0.20395237948083586,55000,$7.25,January 2022 through December 2022,1644
NE,17,0.22355100810517786,151000,$10.50,January 2022 through December 2022,1293
NH,17,0.19044836454328062,95000,$7.25,January 2022 through December 2022,1318
NJ,17,0.20825655153802075,514000,$14.13,January 2022 through December 2022,1519
NM,17,0.33217078984683523,171000,$12.00,January 2022 through December 2022,1307
NV,17,0.2844314173118573,229000,$10.50,January 2022 through December 2022,1059
NY,17,0.20062313477523244,878000,$14.20,January 2022 through December 2022,2604
OH,17,0.2708846157740254,960000,$10.10,January 2022 through December 2022,2144
OK,17,0.3983028554528021,405000,$7.25,January 2022 through December 2022,1120
OR,17,0.16669960946039225,228000,$13.50,January 2022 through December 2022,1597
PA,17,0.24124979507496433,846000,$7.25,January 2022 through December 2022,2300
RI,17,0.1825187869510312,61000,$13.00,January 2022 through December 2022,767
SC,17,0.33199189155194025,382000,$7.25,January 2022 through December 2022,1103
SD,17,0.25215632991820036,73000,$10.80,January 2022 through December 2022,1100
TN,17,0.3265970288999965,634000,$7.25,January 2022 through December 2022,1553
TX,17,0.2961981625484351,2509000,$7.25,January 2022 through December 2022,5088
UT,17,0.2471039050758024,267000,$7.25,January 2022 through December 2022,1704
VA,17,0.2336460530459629,531000,$12.00,January 2022 through December 2022,1472
